"ID","EjBetalat","LanPerManad","TotaltLan","Fastighetsvarde","ArPaArbete","NBetAnmark","NForsenBetal","KreditAlder","Nkreditprovningar","Nkrediter","KvotKreditInk","AnledningID","ArbeteID"
1,1,1100,25860,39025,10.5,0,0,94.36666667,1,9,33.77992,2,3
2,1,1300,70053,68400,7,0,2,121.8333333,0,14,33.77992,2,3
3,1,1500,13500,16700,4,0,0,149.4666667,1,10,33.77992,2,3
4,1,1500,73760.82,101776,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.77992,1,3
5,0,1700,97800,112000,3,0,0,93.33333333,0,14,33.77992,2,2
6,1,1700,30548,40320,9,0,0,101.4660019,1,8,37.11361356,2,3
7,1,1800,48649,57037,5,3,2,77.1,1,17,33.77992,2,3
8,1,1800,28502,43034,11,0,0,88.76602988,0,8,36.88489409,2,3
9,1,2000,32700,46740,3,0,2,216.9333333,1,12,33.77992,2,3
10,1,2000,73760.82,62250,16,0,0,115.8,0,13,33.77992,2,5
11,1,2000,22608,101776,18,0.25457,0,179.7663,1.186055,21.2961,33.77992,1,3
12,1,2000,20627,29800,11,0,1,122.5333333,1,9,33.77992,2,2
13,1,2000,45000,55000,3,0,0,86.06666667,2,25,33.77992,2,3
14,0,2000,64536,87400,2.5,0,0,147.1333333,0,24,33.77992,1,1
15,1,2100,71000,83850,8,0,1,123,0,16,33.77992,2,3
16,1,2200,24280,34687,8.922268,0,1,300.8666667,0,8,33.77992,2,3
17,1,2200,90957,102600,7,2,6,122.9,1,22,33.77992,2,1
18,1,2200,23030,101776,19,0.25457,0,179.7663,1.186055,21.2961,3.711312299,1,3
19,1,2300,28192,40150,4.5,0,0,54.6,1,16,33.77992,2,3
20,0,2300,102370,120953,2,0,0,90.99253347,0,13,31.58850318,2,2
21,1,2300,37626,46200,3,0,1,122.2666667,1,14,33.77992,2,3
22,1,2400,50000,73395,5,1,0,179.7663,1,0,33.77992,2,4
23,1,2400,28000,40800,12,0,0,67.2,2,22,33.77992,2,1
24,1,2400,18000,101776,22,0.25457,2,121.7333333,0,10,33.77992,2,1
25,1,2400,73760.82,17180,8.922268,0,0,14.56666667,3,4,33.77992,2,3
26,1,2400,34863,47471,12,0,0,70.49108003,1,21,38.26360073,2,1
27,0,2400,98449,117195,4,0,0,93.81177485,0,13,29.68182705,2,2
28,1,2500,15000,20200,18,0,0,136.0666667,1,19,33.77992,2,3
29,1,2500,25116,36350,10,1,2,276.9666667,0,9,33.77992,2,3
30,0,2500,7229,44516,8.922268,0,0,208,0,12,33.77992,2,6
31,0,2500,71408,78600,8,0,0,255.7333333,0,12,33.77992,2,4
32,1,2800,50795,63100,26,2,15,145.6333333,3,45,33.77992,2,6
33,1,2800,4000,60850,16,4,0,112.6333333,2,9,33.77992,2,3
34,1,2900,78600,113000,6,1,0,165.3333333,2,26,33.77992,1,4
35,0,2900,103949,112505,1,0,0,96.10232967,0,13,30.05113629,2,2
36,0,2900,104373,120702,2,0,0,101.5402975,0,13,29.91585903,2,2
37,1,2900,7750,67996,16,3,0,122.2046628,2,8,36.211348,2,3
38,1,2900,61962,70915,2,0,0,282.8016592,3,37,49.20639579,1,1
39,0,3000,104570,121729,2,0,0,85.88437189,0,14,32.05978327,2,2
40,1,3000,7000,20300,3,0,0,50.8,5,9,33.77992,2,3
41,1,3000,73760.82,8800,2,0,1,77.76666667,0,3,33.77992,2,3
