"Kön","Ålder","Ålder5","Ålder10","Avdelning","Omfattning","Frånvaro","Lön","Anställning","Förtroendearbetstid","Karriaärnivå","Arbetsområde","Arbetsområde1","Personalansvar","Anställd_sedan","Anställningstid"
"man",52,"50-54","50-59","Logistik",100,0,63495,"Tillsvidare","Ja",5,10,1,"Nej",1993-11-02,301
"kvinna",48,"45-49","40-49","Logistik",100,0,61370,"Tillsvidare","Ja",5,10,1,"Ja",2000-04-18,223
"man",42,"40-44","40-49","Logistik",100,0,61455,"Tillsvidare","Ja",5,10,1,"Ja",2001-09-01,207
"kvinna",53,"50-54","50-59","Logistik",100,0,61540,"Tillsvidare","Ja",5,10,1,"Ja",1993-10-05,302
"kvinna",47,"45-49","40-49","Logistik",100,100,58820,"Tillsvidare","Ja",5,10,1,"Ja",2001-06-05,210
"man",50,"50-54","50-59","Logistik",100,0,60180,"Tillsvidare","Ja",5,10,1,"Ja",2006-03-01,153
"man",45,"45-49","40-49","Logistik",100,0,59500,"Tillsvidare","Ja",5,10,1,"Ja",2000-10-31,217
"kvinna",46,"45-49","40-49","Logistik",100,0,37315,"Tillsvidare","Nej",3,10,1,NA,2007-01-23,142
"man",46,"45-49","40-49","Logistik",100,0,39100,"Tillsvidare","Nej",3,10,1,NA,2011-02-01,94
"kvinna",40,"40-44","40-49","Logistik",100,100,40545,"Tillsvidare","Nej",3,10,1,NA,2009-11-01,109
"kvinna",40,"40-44","40-49","Logistik",100,6.45,35530,"Tillsvidare","Nej",3,10,1,NA,2013-01-31,70
"man",39,"35-39","30-39","Logistik",100,12.9,36975,"Tillsvidare","Nej",3,10,1,NA,2002-11-01,193
"man",36,"35-39","30-39","Logistik",100,100,31110,"Tillsvidare","Nej",3,10,1,NA,2008-12-31,119
"man",35,"35-39","30-39","Logistik",100,1.61,35020,"Tillsvidare","Nej",3,10,1,NA,2014-10-07,49
"man",35,"35-39","30-39","Logistik",100,0,36125,"Tillsvidare","Nej",3,10,1,NA,2014-06-03,54
"kvinna",34,"30-34","30-39","Logistik",100,12.9,33150,"Tillsvidare","Nej",3,10,1,NA,2009-04-28,115
"man",31,"30-34","30-39","Logistik",100,0,32215,"Tillsvidare","Nej",3,10,1,NA,2013-09-10,62
