Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
man;52;50-54;50-59;Logistik;100;0;63495;Tillsvidare;Ja;5;10;1;Nej;1993-11-02
kvinna;48;45-49;40-49;Logistik;100;0;61370;Tillsvidare;Ja;5;10;1;Ja;2000-04-18
man;42;40-44;40-49;Logistik;100;0;61455;Tillsvidare;Ja;5;10;1;Ja;2001-09-01
kvinna;53;50-54;50-59;Logistik;100;0;61540;Tillsvidare;Ja;5;10;1;Ja;1993-10-05
kvinna;47;45-49;40-49;Logistik;100;100;58820;Tillsvidare;Ja;5;10;1;Ja;2001-06-05
man;50;50-54;50-59;Logistik;100;0;60180;Tillsvidare;Ja;5;10;1;Ja;2006-03-01
man;45;45-49;40-49;Logistik;100;0;59500;Tillsvidare;Ja;5;10;1;Ja;2000-10-31
kvinna;46;45-49;40-49;Logistik;100;0;37315;Tillsvidare;Nej;3;10;1;;2007-01-23
man;46;45-49;40-49;Logistik;100;0;39100;Tillsvidare;Nej;3;10;1;;2011-02-01
kvinna;40;40-44;40-49;Logistik;100;100;40545;Tillsvidare;Nej;3;10;1;;2009-11-01
kvinna;40;40-44;40-49;Logistik;100;6;35530;Tillsvidare;Nej;3;10;1;;2013-01-31
man;39;35-39;30-39;Logistik;100;13;36975;Tillsvidare;Nej;3;10;1;;2002-11-01
man;36;35-39;30-39;Logistik;100;100;31110;Tillsvidare;Nej;3;10;1;;2008-12-31
man;35;35-39;30-39;Logistik;100;2;35020;Tillsvidare;Nej;3;10;1;;2014-10-07
man;35;35-39;30-39;Logistik;100;0;36125;Tillsvidare;Nej;3;10;1;;2014-06-03
kvinna;34;30-34;30-39;Logistik;100;13;33150;Tillsvidare;Nej;3;10;1;;2009-04-28
man;31;30-34;30-39;Logistik;100;0;32215;Tillsvidare;Nej;3;10;1;;2013-09-10
kvinna;29;25-29;-29;Logistik;100;0;30515;Tillsvidare;Nej;3;10;1;;2015-08-04
man;49;45-49;40-49;Logistik;100;0;37315;Tillsvidare;Nej;3;10;1;;2001-01-14
kvinna;39;35-39;30-39;Logistik;100;100;36125;Tillsvidare;Nej;3;10;1;;2008-03-11
kvinna;33;30-34;30-39;Logistik;100;0;35955;Tillsvidare;Nej;3;10;1;;2017-02-07
kvinna;32;30-34;30-39;Logistik;100;0;34255;Tillsvidare;Nej;3;10;1;;2012-04-13
man;44;40-44;40-49;Logistik;100;0;36125;Tillsvidare;Nej;3;10;1;;2017-03-01
kvinna;42;40-44;40-49;Logistik;100;13;39015;Tillsvidare;Nej;3;10;1;;2014-03-01
kvinna;41;40-44;40-49;Logistik;100;100;34935;Tillsvidare;Nej;3;10;1;;2005-09-01
